קטגוריה	שאלה	התשובה של פריידי
הורות	מה עושים כשהמתבגרת שלי מתקשה חברתית?	כמו שאת בטח יודעת, לשיטתנו, הילדים הם המראה הכי מדויקת שלנו, ההורים. כך שלפני שהיתי רוצה לטפל בנערה המתבגרת, הייתי קודם חוקרת את המצב החברתי שלך. אם יצא לך להאזין לנו בשנה האחרונה, שיתפתי לא פעם איך אני מחזקת את חיי החברה שלי בשנה האחרונה, כדי לסייע לבתי לחזק את העולם החברתי שלה❤️
הורות / זהות	איך אדע אם אני באמת רוצה עוד ילד?	רק את (ובן זוגך) יכולים להשיב על שאלה זו. אבל אני רק רוצה שתבדקי עם עצמך, אם זה באמת ילד נוסף שבא לך ללדת או אולי דווקא את עצמך?
משפחה	איך מתמודדים עם סכסוך מתמשך בין אחים / בתוך המשפחה?	הייתי מתחילה דווקא בעצמך. אל תנסי לשנות את האחים, אלא בדקי איפה בתוכך עדיין אין שלום. כל אחד מבני המשפחה מייצג חלק אחר בתוכנו. שאלי את עצמך: עם איזה חלק בתוכי עדיין לא השלמתי?
הורות / ניכור הורי	מה אפשר לעשות במצב של ניכור הורי?	ניכור הורי, לתפיסתי, הוא מחלה אוטואימונית של הנפש, מצב שבו הילדים דוחים את אמם יולדתם, הרי לא נתפס, ממש כמו שהגוף תוקף את עצמו. מבלי להיכנס כרגע לאחריות של הגרוש בדבר, הייתי נכנסת פנימה ומחפשת איפה בחייך פועל כבר שנים דפוס של דחייה? שם הייתי מתחילה את העבודה. חיבוק גדול לך אהובה.
אהבה	למה האהבה שאני רוצה עדיין לא מגיעה אליי?	האהבה לא “לא מגיעה”, אלא לגבול שאנחנו מאפשרים לה להגיע. ואם עד כה לא חווית אהבה, שווה לבדוק איפה את חוסמת את האהבה? ❤️
זוגיות	אם יש משיכה חזקה בהתחלה, זה סימן שהקשר נכון?	בד"כ המשיכה היא זו שמתחילה את הקשר, אבל אם את מאזינה לשיחות רדיו שלנו, את יודעת, שזה בכלל מוח הזוחלים שנדלק.... כך שלא פלא שאחרי מספר שבועות או חודשים, האשליה יורדת, והאמת, על כל הפערים שלה מתחילה לצוף ולהתשקף.
אהבה / ערך עצמי	למה אני מרגישה שאלוהים נטש אותי ושאין לי זוגיות?	אלוהים לא נטש אותך אהובה ❤️ זו את שכנראה נטשת את עצמך. חוסר האמונה או הערך שאת מרגישה כלפי עצמך, הם אלה שמשתקפים אלייך בהיעדר האהבה הזוגית אליה את כה כמהה. ואולי דווקא כאן יש שמירה גדולה של הרוח… שלא מאפשרת לך להיכנס לקשר שישקף לך את הבור הפנימי שעדיין מבקש ריפוי. עלייך קודם להתאהב בעצמך. ורק אז - לרקוד את הריקוד הזוגי.
זוגיות / גבולות	איך להיות פתוחה לקשר בלי לוותר על עצמי או להילקח כמובן מאליו?	להיות פתוחה לקשר לא אומר לוותר על עצמך ❤️ ולהגן על עצמך לא אומר לסגור את הלב. האיזון הבריא הוא לדעת להיכנס לקשר ברכות ובאותנטיות, אבל בלי להתכווץ, לרצות או לאבד את הגבולות שלך בדרך. ומי שבאמת רואה אותך ורוצה אותך - לא ייקח אותך כמובן מאליו. אהבת אמת היא בלי משחקים ומניירות. אני לא יודעת איך בכלל עושים את זה. רק אמת.
אהבה / פגיעות	אחרי הרבה אכזבות הלב שלי נסגר. איך פותחים אותו שוב?	ברור לחלוטין אהובה. הלב לומד להגן על עצמו ומתמלא מגננות עם כל אכזבה, דחיה או כאב.... אבל לב סגור הוא לא סימן שאין בך אהבה, הוא רק סימן שיש בך חלק שעייף מלהיפגע. והריפוי מתחיל מלהתאהב קודם בעצמך! כשתרגישי שוב בטוחה בתוך עצמך - הלב יפתח כמו פרח יפהפה.
אהבה / שפע	אם אני יוצאת לאפליקציות, שידוכים והיכרויות — זה אומר שאני רודפת אחרי זוגיות?	תודעת שפע היא לא לשבת ולחכות שהוא יגיע. תודעת שפע זה להיות בתנועה, להיות בערך עצמי, בתחושת ראויות, ולא מתוך רדיפה, חסר או הישרדות. אפליקציות, היכרויות, שידוכים או כל פורמט אחר שעובד לך - אלה רק צינורות. ההשתדלות שאת עושה, צריכה להיות בכוונה של שפע. של אמונה. ולא של חסר ומרדף. הללויה.
זוגיות / שיקופים	אם יש הרבה פערים ופצעים בזוגיות, זה אומר שהקשר לא נכון?	זוגיות משקפת לנו בצורה הכי אינטימית ואינטנסיבית את עצמנו.... וכל עוד יש אהבה, יש גם שיקופים, פערים, פחדים ופצעים. החכמה היא לדעת איך לעבוד איתם. במקום לברוח - להעמיק, במקום לריב - לרפא.
תודעה / התחדשות	איך באמת פותחים דף חדש אחרי נפילה או טעות?	אחד החידושים שאני הכי אוהבת נמצא ביום השישי לבריאה... ולימד אותנו את הסוד "בריאה מתוך הכלום" - לפתוח דף חדש ונקי! "כִּי שִׁבְע יִפּוֹל צַדִּיק וָקָם". סליחה לעצמנו היא הדלק שמאפשר לנו לקום ולהמשיך בלי להיתקע בעבר.
הגשמה	איך מחזיקים אמונה במציאות חדשה כשעולים ספקות?	הסוד הוא להחזיק את התמונה! לחיות את המציאות החדשה ממש כאילו והיא כבר כאן.... זו הדרך היחידה לצלוח את הספק ושאר החיבוטים העצמיים שמאיימים לקרוע את החוטים שאנחנו מושכים.
מטאיזם / עבודה פנימית	אחרי שעשיתי מודל התמרה ויהלום ומשכתי חוט — מה עכשיו?	אם ערכת מודל התמרה, ואחריו חקרת במודל יהלום, ראית את הפער, זיהית ושחררת אותו, ומשכת את החוט הרצוי - אז זהו. הללויה! החוט נמשך ואת פוקחת עיניים בברכת הללויה - במציאות החדשה!
טלפתיה / רוח	האם אפשר לתקשר עם אנשים רחוקים או עם אהובים שנפטרו?	באמצעות "היפר תקשורת" - יכולת תקשור על גבי גלי האתר, ניתן לתקשר עם חברים מעבר לים, או אהובים שנפטרו וחזרו למצב צבירה רוח... ככל שמפתחים מיומנות זו ניתן להגיע לרמות דיוק גבוהות ותקשורת טלפתית וחוצת מימדים
רצון / הכרת תודה	אם טוב לי עכשיו, האם אני בכלל צריכה לרצות יותר?	אם טוב לך כרגע, אולי תתחילי בתודה? בזכות פשוט להיות? זה בסדר גמור לרצות יותר, הרצון - הוא הסמן והמצפן לנשמה שלנו, ובו זמנית, את פותחת בעובדה שטוב לך, אז מדוע לשנות?
אהבה עצמית	איך מתחילים לעבוד על אהבה עצמית?	דרכים רבות לאהבה עצמית. בתקופה זו, עבורי אהבה עצמית בעיקר מתבטאת בגוף... אבל שנים רבות עבדתי תחילה על אהבה עצמית שבתודעה. לזכור שאני מאשרת את עצמי ולא מחפשת חיזוקים מבחוץ, לתת לעצמי את ההכרה לה ייחלתי, את האישור והגושפנקא להיות מי שאני.
ייעוד / קריירה	איך אני יודעת מה הכיוון או הייעוד שלי?	התחילי בלהאזין או לצפות בתוכנית "איזור הגאונות". ברגע שתדעי מהו איזור הגאונות שלך, יש לך נ.צ. מאד ברור לשאוף אליו!
תודעה / גורל	אם ה-DNA שלנו קובע כל כך הרבה, אפשר בכלל לשנות את ה"מכתוב"?	הDNA הוא הקוד הגנטי ממנו אנחנו מורכבים... יחד עם זאת, גם את "המכתוב" שלנו אנחנו יכולים לשנות. שיטת המטאיזם מלמדת כל אדם להכנס באופן עצמאי אל "מאחורי הקלעים", חדר העריכה, למחוק ולערוך על פי הצורך...
תהליך אישי	מאיפה מתחילים כשיש כל כך הרבה תחומים שכואבים לי?	מתחילים במקום שהכי כואב לך כרגע! לא משנה אם זה האיזור הכלכלי, המשפחתי, הבריאותי, כל אחד והכאב הבוער ביותר. משם מתחילים. ואח"כ, כמו שכבות של ציור שמן איכותי, כל פעם אנחנו לומדים לצייר לעצמנו עוד שכבה של גן עדן.
תהליך אישי / טיפול	המצב בבית ובתוכי מאוד קשה. האם אני יכולה לעשות את העבודה לבד?	וואו. נשמע קשוח ולא פשוט בכלל!... כמי שדוגלת בתהליכים קבוצתיים, במקרה הספציפי שלך, אני דווקא ממליצה לקחת טיפול אישי, שיעזור וילווה אותך בדרך אל החופש. זה לא משהו שאפשר לעשות לבד.
התבודדות / רווחה	זה בסדר שאני רוצה להיות לבד ולהתרחק מאנשים?	ברור שזה בסדר! את שואלת מישהי שבלי מלחמה, כבר 14 שנה חיה במערה ומרחיקה מעליה אנשים 😜 ... והאמת שההתבודדות זה הגעגוע הכי גדול שלי מאז תחילת המלחמה
שפע / כסף	חתמתי על בחירה בשפע אבל המציאות הכלכלית עדיין לוחצת. מה זה אומר?	באמת לא פשוט. דווקא תדר בחירה מבקש להזכיר לך את החוזה החדש שחתמת, ולדחוף אותך להתעקש על הבחירה ולסנכרן את המציאות עם הסעיף החדש, עם הבחירה בשפע. אני מתרגמת זאת כהזמנה להתבונן פנימה ולראות אילו תדרים ישנים סביב כסף עדיין פעילים בך, ושם בדיוק להתעקש על הבחירה! הללויה. מחזיקה איתך תדר✨
נושא	שאלה	תשובה
אינטגרציה	יש בי שני קולות שסותרים אחד את השני. למי מהם להקשיב?	לא תמיד צריך לבחור צד. לפעמים שני הקולות מחזיקים אמת. אינטגרציה היא היכולת להפסיק לנהל מלחמת אזרחים פנימית, להקשיב לכל החלקים ולתת להם להתחיל לעבוד יחד.
אינטגרציה	איך יודעים אם החלטה מגיעה מהראש או מהלב?	במקום לשאול מי צודק, נסו לתת מקום גם להיגיון וגם לרגש. כשהמערכת נרגעת והקולות מפסיקים לצעוק, ההחלטה המדויקת נעשית הרבה יותר שקטה וברורה.
אינטגרציה	למה אני מתלבטת בלי סוף גם בדברים קטנים?	כי לעיתים ההתלבטות היא לא על הדבר עצמו, אלא על קונפליקט פנימי שלא קיבל מקום. כשמחברים בין הקצוות, הרעש פוחת ואיתו גם הצורך לטחון שוב ושוב את אותה החלטה.
אינטגרציה	מה עושים עם מחשבה שחוזרת שוב ושוב?	לא כל מחשבה ראויה לאמון. במקום להילחם בה, תני לה להיות עוד קול בחדר — לא מנהלת החדר. המטרה היא להחזיר את הבחירה לידיים שלך.
אינטגרציה	אפשר להיות גם רוחנית וגם מאוד פרקטית?	בטח. זו בדיוק אינטגרציה: גם אונה ימנית וגם אונה שמאלית, גם לב וגם מספרים, גם רוח וגם חומר. השלם לא נוצר כשמוחקים צד אחד, אלא כשמחברים.
אינטגרציה	למה דווקא כשאני מנסה להיות רגועה עולה בי יותר רעש?	כי כשמפסיקים לברוח, פתאום שומעים את מה שכבר היה שם. זה לא סימן שמשהו התקלקל — זו הזדמנות לתת לכל הקולות לעלות, עד שהם מפסיקים לנהל אותך.
אינטגרציה	איך מגיעים לשלום פנימי אם יש בי חלקים שאני ממש לא אוהבת?	שלום פנימי לא דורש שתאהבי כל חלק מיד. הוא מתחיל כשאת מפסיקה להכות חלק אחד באמצעות חלק אחר. הקונטרסט הוא חלק מהחיים; העבודה היא ללמוד לחיות איתו בהרמוניה.
אינטגרציה	מה זה אומר שהכול בסדר גם כשלא הכול בסדר?	זה לא אומר להתעלם מהמציאות. זו יכולת פנימית להישאר מחוברת לעצמך גם בתוך כאוס, בלי שכל אירוע בחוץ יפרק את הבית בפנים.
חוסן / אל־מורא	איך מפסיקים לפחד?	המטרה היא לא בהכרח למחוק את הפחד. חוסן הוא היכולת ללכת איתו יד ביד ולהמשיך לבחור. כן, מפחיד — וכן, אני עושה את זה.
חוסן / אל־מורא	למה אני יודעת שאין סכנה ועדיין הגוף מפחד?	כי פחד לא חי רק בהיגיון. הוא מופעל במערכת עמוקה ואוטומטית. העבודה היא לא לשכנע את עצמך בכוח, אלא ליצור חיבור חדש בין הפחד לבין החלק המתבונן והבוחר.
חוסן / אל־מורא	איך בונים ביטחון עצמי אמיתי?	ביטחון לא נבנה מזה שלעולם לא תפחדי, אלא מזה שתראי לעצמך שוב ושוב שאת יכולה לפעול גם כשהפחד נמצא בחדר.
חוסן / אל־מורא	אני נמנעת מדברים כי אני מפחדת להיכשל. מה עושים?	הימנעות מלמדת את המוח שהפחד צדק. תנועה קטנה ומבוקרת מלמדת אותו משהו חדש: אני יכולה להרגיש פחד ועדיין להתקדם.
חוסן / אל־מורא	למה פחד חוזר גם אחרי שכבר עבדתי עליו?	כי התפתחות היא ספירלה, לא קו ישר. לפעמים אנחנו פוגשים שוב אותו פחד מנקודת עומק חדשה. זו לא בהכרח רגרסיה — זו הזמנה לעלות עוד קומה.
חוסן / אל־מורא	איך עוזרים לילד עם חרדת ביצוע?	במקום רק להגיד לו 'אל תפחד', אפשר לחקור יחד מה באמת יושב מתחת לחרדה. כשהשורש מקבל שם וצורה, כבר יש עם מה לעבוד.
חוסן / אל־מורא	האם אומץ אומר שאני כבר לא מפחדת?	לא. אומץ הוא לעבור בתוך האש. קלילות היא הרגע שבו את מתחילה לגלות שחלק גדול מהאש היה תסריט שהמוח החזיק.
חוסן / אל־מורא	מה עושים כשאני נכנסת ישר לתסריט הכי גרוע?	עצרי ובדקי: מה קורה עכשיו בפועל, ומה רק מוקרן קדימה? החוסן מתחיל בהפרדה בין המציאות לבין הסרט שהפחד כבר הספיק לביים.
לצאת לאור	למה כל כך מפחיד אותי שיראו אותי?	כי חשיפה נוגעת במקום עמוק: מה יחשבו, מה יגידו, האם אהיה בטוחה אם אהיה באמת אני. לכן לא 'נפטרים' מהפחד — בונים יכולת להיראות גם כשהוא שם.
לצאת לאור	אני רוצה לפרסם יותר אבל כל פעם מוחקת. מה זה אומר?	שיש בך חלק שרוצה לצאת לאור וחלק אחר שמנסה לשמור עלייך. אל תכעסי על המגן; הכירי בו, ואז בחרי אם הוא עדיין צריך לנהל את ההגה.
לצאת לאור	איך מפסיקים לחשוב כל הזמן מה אחרים יגידו?	אי אפשר לשלוט במה שאחרים יחשבו. אפשר לעבוד על המקום שמבקש מהם אישור. ככל שאת מאשרת את עצמך, תגובות מבחוץ מפסיקות להיות פסק דין.
לצאת לאור	למה אני מצטמצמת דווקא כשמגיעה הזדמנות גדולה?	כי לפעמים הצלחה דורשת מאיתנו להסכים להיות נראות. ואם הנראות עצמה מרגישה מסוכנת, המוח יעדיף לשמור אותך קטנה ומוכרת.
לצאת לאור	איך יודעים אם זו צניעות או פחד מחשיפה?	שאלי את עצמך: אם אף אחד לא היה שופט אותי, האם עדיין הייתי בוחרת להסתתר? התשובה בדרך כלל עושה סדר.
לצאת לאור	אפשר להיות חשופה בלי לחשוף הכול?	בוודאי. אותנטיות היא לא ויתור על גבולות. לצאת לאור פירושו לא להסתיר את מי שאת — לא למסור לעולם כל פרט ששייך רק לך.
לצאת לאור	איך מתחילים לצאת לאור בלי להרגיש שאני מזייפת ביטחון?	לא צריך לשחק אותה בטוחה. אפשר להגיד לעצמך אמת פשוטה: אני מתרגשת, אני מפחדת, ואני עדיין בוחרת להופיע.
לצאת לאור	מה אם אצא לאור ואכשל מול כולם?	אז תגלי שהכישלון לא מחק אותך. הרבה פעמים מה שמפחיד הוא לא האירוע, אלא הדמיון שלא נשרוד אותו. וכשאנחנו נשארים — נבנה חוסן חדש.
רווחה	למה קשה לי להיות בשקט?	כי לרבים מאיתנו שקט מרגיש כמעט חשוד. כשהרעש נפסק עולים פתאום הקולות שהעסקנו את עצמנו כדי לא לשמוע.
רווחה	למה דווקא כשהכול רגוע אני מתחילה לחפש מה לא בסדר?	זה יכול להיות פחד מהטוב: למהר למצוא את הפאק כדי לא לחכות לרגע שבו משהו ייהרס. לפעמים אנחנו הורסים מראש רק כדי לא להיות בחוסר ודאות.
רווחה	מה זה בכלל רווחה תודעתית?	רווחה היא לא רק כסף או חופשה. זו תחושה שיש בתוכך אוויר, מקום, שקט ויכולת להיות — בלי לרוץ כל הזמן לדבר הבא.
רווחה	איך מתחילים להכניס יותר רווחה ליום עמוס?	לא מחכים שהחיים יתפנו. מכניסים שקט יזום ליומן: מנוחה, מדיטציה, כתיבה, שמש, נשימה — משבצת שמקבלת מקום כמו כל פגישה אחרת.
רווחה	אני מרגישה אשמה כשאני נחה. למה?	כי אולי למדת שערך מגיע ממאמץ. אבל מנוחה היא לא פרס על קריסה; היא חלק מהמערכת שמאפשרת לך לחיות וליצור לאורך זמן.
רווחה	למה אני תמיד צריכה גירוי — טלפון, אוכל, סדרה?	לפעמים הגירוי הוא דרך לא לפגוש שקט. שווה לבדוק מה עולה בך בדקה שבה אין שום דבר לעשות.
רווחה	איך יודעים אם אני באמת נחה או רק בורחת?	מנוחה אמיתית משאירה אותך יותר מרווחת. בריחה בדרך כלל משאירה אחריה עוד רעש, אשמה או צורך בעוד מנה.
רווחה	אפשר לתרגל רווחה גם בתקופה שהמציאות בחוץ קשה?	דווקא אז. רווחה לא אומרת שהכול מושלם בחוץ; היא היכולת לייצר בתוכך מרחב שמאפשר לך לעבור את מה שיש בלי להישאב כולך לתוכו.
אהבה	למה אני נמשכת דווקא למי שלא באמת פנוי אליי?	כי הבלתי מושג יכול להרגיש מרגש ובו זמנית בטוח: אפשר להשתוקק בלי להסתכן באמת באינטימיות. שווה לבדוק למה ה'כן' פחות מסעיר אותך.
אהבה	איך מפסיקים לרדוף אחרי אהבה?	לא מפסיקים להיות בתנועה — מפסיקים לפעול מחסר. אפליקציות, היכרויות ושידוכים הם רק צינורות. השאלה היא מאיזה תדר את נכנסת אליהם.
אהבה	למה אני לא מצליחה להאמין שמישהו באמת אוהב אותי?	לפעמים האהבה בחוץ פוגשת תקרה פנימית. אם את לא רגילה לאשר, לקבל ולאהוב את עצמך, גם אהבה אמיתית יכולה להרגיש לא אמינה.
אהבה	האם אהבת אמת אמורה להיות קלה?	אהבה לא חייבת להיות דרמה כדי להיות עמוקה. היא יכולה לכלול שיקופים ופערים, אבל העבודה היא לא לברוח מכל טריגר — אלא ללמוד לרפא בתוך קשר בטוח.
אהבה	איך פותחים לב אחרי שנפגעתי?	לא מכריחים את הלב. קודם בונים ביטחון בתוך עצמך. כשהמערכת מרגישה שוב בטוחה, הלב נפתח בהדרגה — לא בצו.
אהבה	מה קודם — אהבה עצמית או זוגיות?	לא חייבים לחכות שתהיי 'מושלמת' כדי להיכנס לקשר, אבל ככל שאת יותר בעד עצמך, את פחות זקוקה לקשר שיציל, יאשר או ימלא אותך.
אהבה	איך יודעים אם זו אהבה או דפוס?	שאלי מה מושך אותך: האדם עצמו, או התחושה המוכרת שהוא מפעיל? מה שמרגיש כמו בית הוא לא תמיד בית — לפעמים זו פשוט תבנית ישנה.
אהבה	למה אהבה היא שריר שאפשר לאמן?	כי אהבה היא לא רק רגש שנופל עלינו. זו בחירה יומיומית: איך אנחנו מדברים, מקבלים, נפתחים, מציבים גבול, נשארים ומרככים.
מיניות	למה החשק שלי נעלם כשאני בעומס?	כי קשה לחיה לצאת לרקוד כשהמוח עסוק בלשרוד. לפעמים זו בכלל לא בעיית תשוקה — אלא מחסור באוויר לנשימה.
מיניות	האם אפשר ליהנות ממיניות כשאני לא אוהבת את הגוף שלי?	קשה להתענג כשאת עסוקה בלבקר את הגוף. מיניות יכולה להפוך גם למגרש ריפוי שבו הגוף לומד בהדרגה שהוא ראוי לאהבה, מגע והנאה.
מיניות	למה אני מרגישה אשמה כשאני נהנית?	כי רבים גדלו על הרעיון שמאמץ הוא טוב וסבל הוא אצילי. להסכים לעונג זה גם ללמוד לקבל את הטוב בלי להתנצל עליו.
מיניות	בן הזוג לא יוזם. זה אומר שהוא לא נמשך אליי?	לא בהכרח. אהבה ותשוקה לא תמיד מדברות באותה שפה. לפני שמסיקים מסקנה, שווה להסתכל על חלוקת היוזמה במערכת כולה ועל הדינמיקה שנוצרה ביניכם.
מיניות	למה מחמאה מאדם זר פתאום מדליקה אותי?	לפעמים זו לא תשוקה לאדם שמולך אלא חלק בתוכך שהתעורר. השאלה המעניינת היא: איזה חלק בי התרגש פתאום להיות נראה?
מיניות	אני מעדיפה לישון מאשר לעשות סקס. משהו לא בסדר בי?	לא. כשסוללת החיים על 3%, גם החיה הכי טורפת רוצה ללכת לישון. לפעמים הגוף פשוט מבקש טעינה.
מיניות	איך מפסיקים לקחת 'לא היום' כדחייה אישית?	אפשר לבדוק איפה הדחייה פוגשת מקום שכבר דוחה או מסרב לעצמו. לא כל 'לא' של האחר הוא אמירה על הערך שלך.
מיניות	מה הקשר בין מיניות לקבלה?	עונג דורש יכולת לקבל: תשומת לב, מגע, מחמאה, נוכחות וטוב. לפעמים העבודה המינית העמוקה ביותר מתחילה בכלל בשריר הקבלה.
הורות מודעת	הילד שלי מפעיל אותי בטירוף. מה עושים ברגע האמת?	קודם כל עוצרים. הילד לא תמיד 'יוצר' את הכאב — לפעמים הוא מפגיש אותך עם מקום שכבר היה שם. ברגע שאת מזהה את זה, נפתחת אפשרות לבחור תגובה חדשה.
הורות מודעת	אם הילד שלי מתקשה חברתית, איך אני יכולה לעזור לו?	לפני שממהרים לתקן אותו, אפשר להסתכל גם על הברומטר שלך. הילדים הם מראה חזקה, ולפעמים שינוי בעולמנו מייצר תנועה גם בעולמם.
הורות מודעת	איך מפסיקים להעביר לילדים את השריטות שלנו?	אי אפשר להיות הורה בלי שריטות. אפשר להיות הורה שמזהה אותן. ריפוי בין־דורי מתחיל כשאנחנו עוצרים את האוטומט ובוחרים תגובה אחרת.
הורות מודעת	אני צועקת ואז מתמלאת אשמה. הרסתי לילד?	הילדים לא צריכים הורה מושלם. הם צריכים הורה שמסוגל לחזור, לקחת אחריות, לתקן ולבחור מחדש. גם התיקון הוא שיעור.
הורות מודעת	מה זו 'הזנחה בריאה'?	זו היכולת לא למהר להציל את הילד מכל קושי, אלא לתת לו מרחב לגלות כוחות, להתמודד ולהתפתח — כשאנחנו נשארים בסיס בטוח, לא צוות חילוץ קבוע.
הורות מודעת	איך מציבים גבול בלי לפעול מפחד?	גבול יכול להגיע מאהבה ומוגנות, לא רק מכעס. השאלה היא האם אני מגיבה כדי לשלוט בילד, או כדי להחזיק עבורו מסגרת בטוחה.
הורות מודעת	האם הילדים באמת משחזרים את הקשרים שלנו?	הם לומדים יחסים דרך מה שהם חיים ורואים. לכן העבודה שלנו על עצמנו היא גם אחת המתנות הכי גדולות שאנחנו יכולים לתת למערכות היחסים העתידיות שלהם.
הורות מודעת	איך יודעים איזה שיעור הילד שלי בא ללמד אותי?	במקום לשאול רק 'מה לא בסדר איתו?', שאלי: מה קורה בי שוב ושוב מולו? איזה רגש, פחד או דפוס הוא מצליח להדליק בכל פעם?
התחלות	למה כל התחלה מרגשת אותי ובאותה נשימה מפחידה?	כי התחלה מחייבת אותנו לעזוב משהו מוכר לפני שיש לנו הוכחה שהחדש יעבוד. שם בדיוק נדרשת בחירה: האם אני נותנת לעבר לכתוב גם את הפרק הבא?
התחלות	איך פותחים באמת דף חדש?	לא רק מחליפים תאריך. מגדירים תמונה חדשה, זהות חדשה ובחירות שמתאימות אליה — ואז מתחילים לחיות כאילו הפרק החדש כבר נכתב.
התחלות	מה הטעם בלוח חזון אם כבר עשיתי אחד בעבר?	לוח חזון הוא לא קישוט. הוא כלי שמחזיק מול המוח תמונה ברורה ומוחשית של מה שאת בוחרת ליצור עכשיו — לא של מי שהיית בשנה שעברה.
התחלות	אני מתחילה דברים ולא מתמידה. מה הבעיה?	לפעמים ההתלהבות שייכת לפנטזיה, אבל הזהות עדיין לא התעדכנה. התחלה אמיתית נמדדת במה שאת ממשיכה לבחור גם אחרי שהנצנצים יורדים.
התחלות	איך משחררים שנה קשה ומתחילים אחרת?	לא חייבים למחוק את מה שהיה. אפשר לקחת את הלמידה, להשאיר את הסיפור הישן מאחור ולבחור איזה חוזה את רוצה להמשיך ממנו.
התחלות	איך אני יודעת מה אני באמת רוצה לשנה החדשה?	לפני רשימת יעדים, בדקי איך את רוצה להרגיש ומי את רוצה להיות. הרצון האותנטי הוא מצפן הרבה יותר מדויק מרשימת 'צריך'.
התחלות	למה אני כל הזמן מחכה ל'זמן הנכון' להתחיל?	כי זמן נכון נותן אשליה של ביטחון. אבל הרבה התחלות נולדות דווקא כשעוד אין ודאות — יש רק החלטה.
התחלות	אפשר להתחיל מחדש גם באמצע החיים?	כל רגע יכול להיות נקודת אפס. בריאה חדשה לא זקוקה לאישור מהעבר. השאלה היא אם את מוכנה להפסיק להשתמש במה שהיה כהוכחה למה שיהיה.
אמונה	איך לומדים להיות באמונה ולהתמיד?	אמונה מלשון אימון. זו מיומנות נרכשת. ככל שתעבדי עליה ותבחרי לדבוק בה, היא יכולה להפוך בהדרגה לטבע שני.
אמונה	איך מחזיקים אמונה כשהמציאות מראה בדיוק ההפך?	אמונה מתחילה כשאת מפסיקה לבקש מהמסך אישור לפני שאת מחזיקה את התמונה. אם המציאות היא הברומטר, העבודה חוזרת פנימה אל השדר שאת מחזיקה.
